Name,Club,Position,Overall
Romain Bayard,Stade-Lausanne,CM,65
Emin Bayram,KVC Westerlo,CB,65
Tanner Beason,SJ Earthquakes,CB,65
Omar Beckles,Leyton Orient,CB,65
Steven Beitashour,Colorado Rapids,RB,65
Łukasz Bejger,Śląsk Wrocław,CB,65
Semi Belkahia,Arminia Bielefeld,CB,65
Yassin Ben Balla,SV Sandhausen,CDM,65
Ayman Ben Mohamed,En Avant Guingamp,LB,65
Alexandru Benga,UTA Arad,CB,65
Ángel Benítez,Defensa,CDM,65
Bryan Bentaberry,Bolívar,CB,65
Ron Berlinski,Rot-Weiss Essen,ST,65
Miguel Berry,Atlanta United,ST,65
Vicente Besuijen,Aberdeen,CAM,65
Davide Bettella,Monza,CB,65
Alessandro Bianco,Reggiana,CM,65
Ovidiu Bic,FC Univ. Cluj,CDM,65
Luis Bilbao,Athletic Club,LM,65
Kristian Bilovar,Dynamo Kyiv,CB,65
Daniel Bîrligea,CFR 1907 Cluj,ST,65
Alexander Bittroff,Jahn Regensburg,CB,65
Andreas Bjelland,Lyngby BK,CB,65
Morten Bjørlo,HamKam Fotball,CM,65
Axel Björnström,AIK,LB,65
Tyler Blackett,Rotherham Utd,CB,65
Nicolás Blandi,San Lorenzo,ST,65
Ole Didrik Blomberg,SK Brann,RW,65
Emmanuel Boateng,IF Elfsborg,CM,65
Damián Bobadilla,Cerro Porteño,CM,65
Matija Boben,CFR 1907 Cluj,CB,65
Radu Boboc,FC Voluntari,RB,65
Éric Bocat,STVV,LWB,65
Lukas Boeder,Saarbrücken,CB,65
Melayro Bogarde,TSG Hoffenheim,CB,65
Luka Bogdan,Ascoli,CB,65
Agustín Bolivar,Gimnasia,CDM,65
Luke Bolton,Salford City,RM,65
Elliot Bonds,Cheltenham Town,CDM,65
Nicholas Bonfanti,Modena,ST,65
Facundo Bonifazi,Defensor,LB,65
Mihai Bordeianu,Politehnica Iași,CDM,65
Léo Borges,Pogoń Szczecin,LB,65
Tobias Børkeeiet,Rosenborg BK,CDM,65
Dylan Borrero,New England,LM,65
Frederik Børsting,SK Brann,RW,65
Abdelrahman Boudah,Hammarby IF,LW,65
Nassim Boujellab,Arminia Bielefeld,CAM,65
Ibane Bowat,TSV Hartberg,CB,65
Oliver Bozanic,Perth Glory,CAM,65
Jayden Braaf,Hellas Verona,CF,65
Bilal Brahimi,SM Caen,CM,65
Frederik Brandhof,AGF,CM,65
Zachary Brault-Guillard,CF Montréal,RM,65
Marius Briceag,Korona Kielce,LB,65
Ethan Bristow,Minnesota United,LB,65
Lucas Brochero,Arsenal,RM,65
Brandt Bronico,Charlotte FC,CDM,65
Marcus Browne,Oxford United,LW,65
Lucas Buades,Rodez AF,RWB,65
Jesús Bueno,Philadelphia,CDM,65
Teal Bunbury,Nashville SC,ST,65
Lars Bünning,Dynamo Dresden,CB,65
Tyler Burey,Odense BK,ST,65
Harrison Burrows,Peterborough,CAM,65
Marco Bustos,IFK Värnamo,CAM,65
Matt Butcher,Plymouth Argyle,CM,65
Calum Butcher,Motherwell,CB,65
Alessio Buttaro,Palermo,RB,65
Luis Cabral,Tacuary,CB,65
Kenji Cabrera,FBC Melgar,CM,65
Malcolm Cacutalua,1. FC Magdeburg,CB,65
Josh Campbell,Hibernian,CM,65
Diego Campos,Degerfors IF,LW,65
Cihan Çanak,Standard Liège,CAM,65
Atakan Çankaya,MKE Ankaragücü,CB,65
Christian Cappis,Molde FK,CM,65
Pablo Cárdenas,Cobresal,RB,65
Adam Carlén,IFK Göteborg,CDM,65
Jonas Carls,SV Waldhof,LB,65
José María Carrasco,The Strongest,CB,65
Giuseppe Carriero,Cittadella,CM,65
Martim Neto,Gil Vicente,CM,65
Wanderson,Pohang Steelers,LB,65
Aljaž Casar,Hallescher FC,CM,65
Luc Castaignos,1. FC Magdeburg,ST,65
Frank Castañeda,Radomiak Radom,CAM,65
Rodrigo Castillo,Gimnasia,ST,65
Santiago Castro,Vélez Sarsfield,ST,65
Javi Castro,AD Alcorcón,CB,65
Cristian Cauz,Modena,LB,65
Sofyan Chader,FC Luzern,RM,65
Maikel Chang,Real Salt Lake,RM,65
Pablo Chavarría,Belgrano,ST,65
Yevgen Cheberko,Columbus Crew,CB,65
Michał Chrapek,Piast Gliwice,CAM,65
Carney Chukwuemeka,Chelsea,CM,65
Mateusz Cichocki,Radomiak Radom,CB,65
Andrei Ciobanu,Politehnica Iași,CAM,65
Denis Ciobotariu,Sepsi OSK,CB,65
Cătălin Cîrjan,FC Rapid 1923,CAM,65
Amadou Ciss,Amiens SC,LW,65
Giorgio Cittadini,Monza,CB,65
Sean Clare,Wigan Athletic,RB,65
Mitch Clark,Port Vale,RWB,65
Denilho Cleonise,RKC Waalwijk,RM,65
Harry Clifton,Grimsby Town,RM,65
Josh Coburn,Middlesbrough,ST,65
Marco Collao,Audax Italiano,CM,65
Will Collar,Stockport,CM,65
Archie Collins,Peterborough,CM,65
Rubin Colwill,Cardiff City,CAM,65
Aloïs Confais,Havre AC,CDM,65
Kevin Conrad,SV Elversberg,CB,65
Enzo Cornelisse,Vitesse,CB,65
Diego Corozo,Aucas,RWB,65
Killian Corredor,Rodez AF,ST,65
Lasso Coulibaly,Randers FC,RW,65
Soumaila Coulibaly,Royal Antwerp FC,CB,65
Valentin Crețu,FCSB,RB,65
Nicolás Crovetto,Club Magallanes,LB,65
Daniel Crowley,Notts County,CAM,65
Brahian Cuello,Instituto,LM,65
Juan Manuel Cuesta,Indep. Medellín,LM,65
Robbie Cundy,Barnsley,CB,65
Sessi D'Almeida,Pau FC,CM,65
Silva,Yverdon Sport FC,CDM,65
Dai Weijun,Shanghai Shenhua,CM,65
Slavko Damjanović,Bengaluru FC,CB,65
Donervon Daniels,Walsall,CB,65
Andrea Danzi,Cittadella,CM,65
Jason Davidson,KAS Eupen,LB,65
Curtis Davies,Cheltenham Town,CB,65
Joyskim Dawa,FCSB,CB,65
Brian De Keersmaecker,Heracles Almelo,CDM,65
Kevin De La Hoz,Puerto Cabello,RB,65
Lucas Ventura,Portimonense SC,CDM,65
Alessandro De Vitis,Pisa,CM,65
Gabriel Debeljuh,Sepsi OSK,ST,65
Logan Delaurier-Chaubet,Quevilly Rouen,LW,65
Sacha Delaye,Montpellier,LM,65
Fisayo Dele-Bashiru,Hatayspor,CM,65
Fabio Delgado,Santa Fe,LB,65
Delgado,Odisha FC,CB,65
Karamoko Dembélé,Blackpool,RW,65
Kristian Dennis,Tranmere Rovers,ST,65
Jérôme Deom,KAS Eupen,CM,65
Abdoulaye Diaby,FC St. Gallen,CB,65
Yadaly Diaby,SC Austria,LW,65
Ousmane Diakité,TSV Hartberg,CDM,65
Paul Digby,Cambridge Utd,CDM,65
Eren Dinkçi,Heidenheim,RM,65
Amidou Diop,Aalesunds FK,CM,65
Viktor Djukanović,Hammarby IF,LW,65
Ivan Dolček,Hajduk Split,LM,65
Maxime Dominguez,Gil Vicente,CAM,65
Lohann Doucet,Paris FC,CDM,65
Siriné Doucouré,FC Lorient,ST,65
Guéla Doué,Stade Rennais FC,CB,65
Jake Doyle-Hayes,Hibernian,CM,65
Lukáš Droppa,FC Voluntari,CDM,65
Lance Duijvestijn,Almere City FC,CAM,65
Harrison Dunk,Cambridge Utd,LB,65
Jhon Durán,Aston Villa,ST,65
Jimmy Durmaz,AIK,CM,65
Tom Eaves,Rotherham Utd,ST,65
Michael Eberwein,B. Dortmund II,CAM,65
Samuel Edozie,Southampton,LW,65
Ryan Edwards,SD Amorebieta,CM,65
Mandela Egbo,Colchester,RB,65
Lilian Egloff,VfB Stuttgart,CAM,65
Kevin Ehlers,Dynamo Dresden,CB,65
Christoph Ehlich,SV Sandhausen,LWB,65
Daniel Eid,IFK Norrköping,RB,65
Mo Eisa,MK Dons,ST,65
Pierre Ekwah,Sunderland,CDM,65
Oussama El Azzouzi,Bologna,CDM,65
Zakaria El Ouahdi,KRC Genk,RW,65
Mikael Egill Ellertsson,Venezia,CM,65
Xian Emmers,FC Rapid 1923,CM,65
Keita Endo,Braunschweig,LW,65
Mario Engels,Heracles Almelo,ST,65
Lawrence Ennali,Górnik Zabrze,RM,65
Ziya Erdal,Sivasspor,LB,65
Sebastian Eriksson,IFK Göteborg,CDM,65
Victor Eriksson,IFK Värnamo,CB,65
Ertuğrul Ersoy,Gaziantep,CB,65
Julius Ertlthaler,WSG Tirol,LM,65
Julian Eseiza,Godoy Cruz,LB,65
Samuel Essende,FC Vizela,ST,65
Jean Lambert Evan's,Pau FC,LWB,65
Saeid Ezatolahi,Vejle Boldklub,CDM,65
Wahid Faghir,SV Elversberg,ST,65
David Fällman,Aalesunds FK,CB,65
Akin Famewo,Sheffield Wed,CB,65
Sultan Farhan,Al Ittihad,CDM,65
Priestley Farquharson,Walsall,CB,65
Neil Farrugia,Shamrock Rovers,RWB,65
Betim Fazliji,FC St. Gallen,CB,65
Gino Fechner,Wehen Wiesbaden,CDM,65
Joel Felix,Silkeborg IF,CB,65
Volnei Feltes,Estoril Praia,CB,65
Alexis Fernández,Tacuary,RB,65
Nicolás Fernández,Audax Italiano,RB,65
Matías Ferreira,Delfín S.C.,CB,65
Julián Figueroa,Dep. Táchira,CDM,65
Alexandr Filin,KAS Eupen,CB,65
Ethan Finlay,Austin FC,RM,65
Kolbeinn Birgir Finnsson,Lyngby BK,LWB,65
Lewis Fiorini,Manchester City,CM,65
Tom Flanagan,Shrewsbury,CB,65
Leandro Fleitas,UCV,RB,65
Marcin Flis,ŁKS Łódź,CB,65
Aldo Florenzi,Cosenza,CM,65
Eduard Florescu,FC Botoșani,CM,65
Malick Fofana,KAA Gent,LM,65
Théo Fonseca,FC Famalicão,ST,65
Anthony Fontana,PEC Zwolle,CAM,65
Tiago Morais,Boavista FC,ST,65
Marcus Fraser,St. Mirren,CB,65
Emil Frederiksen,Rosenborg BK,RW,65
Lewis Freestone,Cheltenham Town,CB,65
George Friend,Bristol Rovers,CB,65
Kianz Froese,Wehen Wiesbaden,CF,65
Anton Gaaei,Ajax,RB,65
Joaquín García,Vélez Sarsfield,RB,65
John García,The Strongest,LM,65
Jon García,Racing de Ferrol,CB,65
Naranjo,Jagiellonia,LM,65
Aleix Garrido,FC Barcelona,CM,65
Ben Garrity,Port Vale,CM,65
Jules Gaudin,Paris FC,LB,65
Mathias Gehrt,Hvidovre IF,CAM,65
Jader,Atl. Nacional,LM,65
Willem Geubbels,FC St. Gallen,ST,65
Liam Gibson,Harrogate Town,LB,65
Alex Gilbey,MK Dons,CM,65
Patrick Göbel,B. Dortmund II,RM,65
Wouter Goes,AZ,CB,65
Robert Gojani,Kalmar FF,CM,65
Guilherme Garutti,FC Petrolul,CB,65
Darwin Gómez,Metropolitanos,RW,65
James Gomez,Sparta Praha,CB,65
Richet Gómez,Blooming,CDM,65
Johan Arath Gómez,Braunschweig,CF,65
Maximiliano González,Lanús,CDM,65
Jersson González,Santa Fe,RM,65
Tomás González,Unión,ST,65
Alfon,RC Celta,LM,65
Nono,Korona Kielce,LM,65
Jacobo,AD Alcorcón,LM,65
Conor Grant,Port Vale,LWB,65
Tayvon Gray,New York City FC,RB,65
Pascal Gregor,Lyngby BK,CB,65
Rostyn Griffiths,Mumbai City FC,CB,65
Jack Grimmer,Wycombe,RB,65
Thomas Grøgaard,Strømsgodset IF,LWB,65
Tommy Grupe,VfB Lübeck,CB,65
Jan Grzesik,Radomiak Radom,RM,65
Mateusz Grzybek,Zagłębie Lubin,LB,65
Sveinn Aron Guðjohnsen,IF Elfsborg,ST,65
Édgar Guerra,Millonarios,RM,65
David Gugganig,WSG Tirol,CB,65
Tobias Gulliksen,FK Bodø/Glimt,LW,65
Niklas Gunnarsson,Yverdon Sport FC,CB,65
Julian Guttau,1860 München,LM,65
Samuel Guzmán,O. Petrolero,LM,65
Joseph-Claude Gyau,Degerfors IF,LWB,65
Steffen Hagen,Odds BK,CB,65
Aapo Halme,HJK Helsinki,CB,65
Ilyes Hamache,Valenciennes FC,LM,65
Tom Hamer,Burton Albion,RWB,65
Ethan Hamilton,Lincoln City,CM,65
Marek Hanousek,Widzew Łódź,CDM,65
Sontje Hansen,N.E.C. Nijmegen,RW,65
Cameron Harper,Red Bulls,RM,65
Denis Haruț,FCSB,CB,65
Stefan Haudum,Blau-Weiss Linz,CDM,65
Fredrik Haugen,Stabæk Fotball,CM,65
Sebastian Hausner,IFK Göteborg,CB,65
Aaron Hayden,Wrexham AFC,CB,65
Ali Hazazi,Ettifaq FC,CDM,65
Þórir Jóhann Helgason,Braunschweig,CM,65
Emanuel Hernández,Sarmiento,CB,65
Manu Hernando,SD Amorebieta,CB,65
Rodrigo Herrera,Barracas Central,CDM,65
Santiago Herrera,Monagas SC,ST,65
Borja Herrera,East Bengal,CAM,65
Lucas Hey,FC Nordsjælland,CB,65
Macario Hing-Glover,Shanghai Shenhua,RB,65
Koki Hinokio,Stal Mielec,CAM,65
Patrick Hoban,Dundalk,ST,65
Fraser Horsfall,Stockport,CB,65
Ben House,Lincoln City,ST,65
Huang Zichang,Henan SSLM FC,RM,65
Dean Huiberts,PEC Zwolle,CAM,65
Marian Huja,FC Petrolul,CB,65
Bashir Humphreys,Swansea City,CB,65
Paul Huntington,Carlisle United,CB,65
Paolo Hurtado,Cienciano,RM,65
Hwang Mun Ki,Gangwon FC,CM,65
Alex Iacovitti,Port Vale,CB,65
Gabriel Iancu,FC Hermannstadt,RW,65
Joaquín Ibáñez,Colón,LM,65
Sebastien Ibeagha,FC Dallas,CB,65
Dani Iglesias,FC Dinamo 1948,CM,65
Luc Ihorst,Braunschweig,ST,65
Alexandru Ișfan,Univ. Craiova,RM,65
Masatoshi Ishida,Daejeon Citizen,CM,65
David Jablonský,Cracovia,CB,65
Jarosław Jach,Zagłębie Lubin,CB,65
Tomás Jacob,Newell's,RB,65
Bjarke Jacobsen,Wehen Wiesbaden,CDM,65
Lukas Jäger,SCR Altach,CDM,65
Kilian Jakob,FC Erzgebirge Aue,LB,65
Caspar Jander,MSV Duisburg,CM,65
Florian Jaritz,Austria Klagenfurt,LM,65
Dennis Jastrzembski,Düsseldorf,LM,65
Carl Jenkinson,Newcastle Jets,CB,65
Magnus R. Jensen,Lyngby BK,CB,65
Richard Jensen,Aberdeen,CB,65
Alexander Jensen,Brommapojkarna,RWB,65
Jeong Dong Ho,Suwon FC,LB,65
Diego Johannesson,Albacete BP,RB,65
Sondre Solholm Johansen,Odds BK,CB,65
Andreas Johansson,Halmstads BK,CB,65
Gethin Jones,Bolton,CB,65
Antonio Jonjić,Wehen Wiesbaden,ST,65
Lenny Joseph,Grenoble Foot 38,ST,65
Jung Ho Yeon,GwangJu FC,CM,65
Jan Jurčec,SCR Altach,RWB,65
Roko Jureškin,Pisa,LB,65
Guimer Justiniano,Blooming,CB,65
Musa Juwara,Vejle Boldklub,RM,65
Julius Kade,Wehen Wiesbaden,CM,65
Rami Kaib,Djurgårdens IF,LB,65
Burak Kapacak,Sivasspor,RM,65
Juan Cruz Kaprof,Sarmiento,ST,65
Aytaç Kara,Kasımpaşa,CDM,65
Lars Kehl,VfL Osnabrück,RW,65
Aboubakar Keita,AIK,CDM,65
Sean Kelly,Livingston,CDM,65
Kevin Kelsy,Shakhtar Donetsk,ST,65
William Kenndal,IFK Värnamo,CDM,65
Richard Keogh,Wycombe,CB,65
Sam Kersten,PEC Zwolle,CB,65
Kaine Kesler-Hayden,Plymouth Argyle,RWB,65
Igor Kharatin,Legia Warszawa,CDM,65
Jakub Kiełb,Warta Poznań,LWB,65
Niko Kijewski,Braunschweig,LWB,65
Gavin Kilkenny,AFC Bournemouth,CDM,65
Kim Jong Woo,Pohang Steelers,CM,65
Kim Min Duk,Daejeon Citizen,CB,65
Kim Hyun,Suwon FC,ST,65
Kim Jin Ho,Gangwon FC,RWB,65
Étienne Kinkoué,Havre AC,CB,65
Kristian Kirkegaard,Vejle Boldklub,LM,65
Pål Alexander Kirkevold,HamKam Fotball,ST,65
Ryan Kitto,Adelaide United,LB,65
Arda Kızıldağ,Gaziantep,CB,65
Florian Kleinhansl,VfL Osnabrück,LB,65
Thibault Klidje,FC Luzern,ST,65
Tobias Klysner,Aalesunds FK,RM,65
Josh Knight,Peterborough,CB,65
Jonas Knudsen,Malmö FF,LB,65
Magnus Knudsen,AGF,CM,65
Erling Knudtzon,Molde FK,RWB,65
Koffi,SV Elversberg,ST,65
Martin Konczkowski,Śląsk Wrocław,RB,65
Morten Ågnes Konradsen,FK Bodø/Glimt,CM,65
David Kopacz,FC Ingolstadt 04,RM,65
Michał Kopczyński,Warta Poznań,CM,65
Pascal Köpke,MSV Duisburg,ST,65
Nebojša Kosović,Meizhou Hakka,CDM,65
Soichiro Kozuki,FC Schalke 04,RW,65
Connor Krempicki,1. FC Magdeburg,CM,65
Martin Kreuzriegler,Vålerenga Fotball,CB,65
Kamil Kruk,Zagłębie Lubin,CB,65
Kevin Martin Krygård,FK Haugesund,CDM,65
Dawid Kurminowski,Zagłębie Lubin,ST,65
Owusu Kwabena,Ferencvárosi TC,ST,65
Brighton Labeau,Lausanne-Sport,ST,65
Carlos Labrín,Audax Italiano,CB,65
Patrik Karlsson Lagemyr,IK Sirius,CAM,65
Sami Lahssaini,FC Metz,CM,65
Niklas Lang,1860 München,CB,65
Javi Lara,AD Alcorcón,LM,65
Gorka Larrucea,FC Dinamo 1948,CDM,65
Ariel Lassiter,CF Montréal,LM,65
Aleks Ławniczak,Zagłębie Lubin,CB,65
Marko Lazetić,Fortuna Sittard,ST,65
Miles Leaburn,Charlton Ath,ST,65
Migue Leal,FC Andorra,RB,65
Adrien Lebeau,Stade Brestois 29,CAM,65
Lee Min Gi,GwangJu FC,LB,65
Lee Yong,Suwon FC,RB,65
Elliot Lee,Wrexham AFC,CAM,65
Lee Jin Yong,Daegu FC,CM,65
Nahuel Leiva,Śląsk Wrocław,CM,65
Félix Lemaréchal,Cercle Brugge,CM,65
Pierre Lemonnier,En Avant Guingamp,CB,65
Maicol León,Palestino,CM,65
Marc Leonard,Northampton,CM,65
Jakob Lewald,Dynamo Dresden,CB,65
Dean Lewington,MK Dons,CB,65
Clayton Lewis,Macarthur FC,CDM,65
Li Ke,Beijing Guoan,CM,65
Isac Lidberg,FC Utrecht,ST,65
Victor Lind,IFK Norrköping,RW,65
Jamie Lindsay,Rotherham Utd,CM,65
Lucas Lingman,HJK Helsinki,CM,65
Allan Linguet,Valenciennes FC,RB,65
Liu Yiming,Wuhan 3 Towns,CB,65
Javi Llabrés,RCD Mallorca,LM,65
Enric Llansana,Go Ahead Eagles,CDM,65
Francesco Lo Celso,Rosario Central,LM,65
Kristoffer Løkberg,Viking FK,CM,65
Lars Lokotsch,SC Verl,ST,65
Flabián Londoño,Arsenal,ST,65
Sam Long,Oxford United,RB,65
Emmanuel Longelo,Birmingham City,LB,65
Sergio López,Dep. Cuenca,RW,65
López-Pinto,Burgos CF,LM,65
Jeremias Lorch,Viktoria Köln,CDM,65
Marvin Loría,Portland Timbers,RM,65
Samuel Loric,Quevilly Rouen,LB,65
Tom Lowery,Portsmouth,CM,65
Lü Wenjun,Shanghai Port,LW,65
Martin Luciano,Godoy Cruz,LB,65
Oier Luengo,R. Oviedo,CB,65
Marco Lund,IFK Norrköping,CB,65
Marius Lundemo,Lillestrøm SK,CM,65
Andy Lyons,Blackpool,RB,65
Soungoutou Magassa,AS Monaco,CDM,65
Josh Magennis,Wigan Athletic,ST,65
Kyle Magennis,Kilmarnock,CM,65
Paris Maghoma,Bolton,CDM,65
Gary Magnée,KAS Eupen,CDM,65
Luca Magnino,Modena,CDM,65
Hicham Mahou,FC Lugano,LM,65
Mikkel Maigaard,Sarpsborg 08,CM,65
Curtis Main,Bengaluru FC,ST,65
Tomasz Makowski,Zagłębie Lubin,CDM,65
Adilson Malanda,Charlotte FC,CB,65
Mariusz Malec,Pogoń Szczecin,CB,65
Yonas Malede,KV Mechelen,ST,65
Eros Mancuso,Estudiantes,RB,65
Danny Mândroiu,Lincoln City,RW,65
Mantilla,R. Racing Club,RB,65
Jhon Marchán,Metropolitanos,CAM,65
Paul Marie,SJ Earthquakes,RB,65
Miguel Luís,Warta Poznań,CM,65
Manuel Marras,Cosenza,CAM,65
Ander Martín,Burgos CF,LM,65
David Martínez,Monagas SC,LW,65
Gabri Martínez,CD Mirandés,RM,65
Luca Martínez Dupuy,Rosario Central,ST,65
Carlos Martínez,FC Goa,ST,65
Pietro Martino,Cosenza,LB,65
John Mary,Çaykur Rizespor,ST,65
Mascarenhas,FCU 1948,LB,65
Igor Matanović,Karlsruher SC,ST,65
Jay Matete,Sunderland,CM,65
Patricio Matricardi,FC Voluntari,CB,65
Tashreeq Matthews,IK Sirius,LW,65
Alan Matturro,Genoa,CB,65
Chris Mavinga,LA Galaxy,CB,65
Adam May,Cambridge Utd,CDM,65
Dylan Mbayo,KV Kortrijk,RM,65
Conor McCarthy,Barnsley,CB,65
Aaron McEneff,Perth Glory,CM,65
Jamie McGrath,Aberdeen,CM,65
Marcus McGuane,Oxford United,CDM,65
Tommy McNamara,New England,CM,65
Shaun McWilliams,Northampton,CDM,65
Mexx Meerdink,AZ,ST,65
Nayel Mehssatou,KV Kortrijk,CDM,65
Aaron Meijers,RKC Waalwijk,LB,65
Álvaro Meléndez,Deportes Tolima,RM,65
Aleksander Melgalvis,HamKam Fotball,RWB,65
Kyrylo Melichenko,Dynamo Dresden,RB,65
Nacho Méndez,R. Sporting,CM,65
Kevin Mensah,Brøndby IF,LB,65
Juan Mercado,O. Petrolero,CDM,65
Patrik Mercado,Independiente DV,CAM,65
George Merloi,FC Voluntari,RM,65
Andrea Meroni,Cosenza,CB,65
Tayeb Meziani,Abha Club,RM,65
Benji Michel,Arouca,LM,65
Tommaso Milanese,Ascoli,CM,65
Matt Millar,Macarthur FC,RB,65
Mato Miloš,Widzew Łódź,RM,65
Deni Milošević,Antalyaspor,CAM,65
Alan Minda,Cercle Brugge,LM,65
Pablo Minissale,Argentinos Jrs.,CB,65
Yankuba Minteh,Feyenoord,RW,65
Andrei Miron,FC Univ. Cluj,CB,65
Alex Mitchell,Lincoln City,CB,65
Manny Monthé,Northampton,CB,65
Lautaro Montoya,Tigre,LB,65
Lewis Montsma,Lincoln City,CB,65
Taylor Moore,Valenciennes FC,CB,65
Morelatto,Nantong Zhiyun FC,CM,65
Alex Moreno Paz,Millonarios,CB,65
Ziv Morgan,CFR 1907 Cluj,LB,65
Mortimer,Granada CF,RW,65
Vitinho,Arouca,CM,65
Chuca,Racing de Ferrol,CAM,65
Sebastian Mrowca,Preußen Münster,CB,65
François Mughe,OM,RM,65
Paul Omo Mukairu,Reading,LW,65
Romaine Mundle,Standard Liège,LM,65
Andrés Murillo,Millonarios,CB,65
Gonzalo Muscia,Arsenal,CM,65
Alen Mustafić,Odense BK,CM,65
Marlon Suliman Mustapha,Como,ST,65
Gabriel Mutombo,FC Botoșani,CB,65
Felix Horn Myhre,SK Brann,CM,65
Jean N'Guessan,FC Metz,CM,65
Nicolai Næss,Stabæk Fotball,CB,65
Yehor Nazaryna,Shakhtar Donetsk,CM,65
Logan Ndenbe,Sporting KC,LB,65
Radu Negru,FCU 1948,RB,65
Adam Nemec,FC Voluntari,ST,65
András Németh,Hamburger SV,ST,65
Nahom Girmai Netabay,Kalmar FF,CM,65
Sam Nicholson,Colorado Rapids,LM,65
Hans Nicolussi Caviglia,Juventus,CM,65
Jonas Nietfeld,Hallescher FC,CB,65
Sven Nieuwpoort,Excelsior,CB,65
David Noboa,Dep. Cuenca,CDM,65
Michael Novak,Wolfsberger AC,RWB,65
Isaac Nuhu,KAS Eupen,ST,65
George Nurse,Shrewsbury,LWB,65
Eoghan O'Connell,Wrexham AFC,CB,65
Corey O'Keeffe,Barnsley,RWB,65
Brandon O'Neill,Newcastle Jets,CDM,65
Răzvan Oaidă,FC Rapid 1923,CM,65
Dorinel Oancea,FC Univ. Cluj,RB,65
Agustín Obando,Tigre,LM,65
Obrador,Real Madrid,LB,65
Yutaro Oda,Hearts,RM,65
Tim Oermann,VfL Bochum,CB,65
Chinonso Offor,CF Montréal,ST,65
Connor Ogilvie,Portsmouth,LB,65
Sebastian Ohlsson,IFK Göteborg,RB,65
Sheyi Ojo,KV Kortrijk,RM,65
Davíð Kristján Ólafsson,Kalmar FF,LB,65
Stefano Olaya,UCV,LM,65
Wenderson,IFK Värnamo,CM,65
Patrick Olsen,Śląsk Wrocław,CM,65
Freddy Oncoy,Binacional,CDM,65
Gaël Ondoua,Servette FC,CDM,65
Nathan Opoku,OH Leuven,ST,65
Fredrik Oppegård,PSV,LB,65
Sakarias Opsahl,Tromsø IL,CM,65
Dominik Oroz,Vitesse,CB,65
Alexander Oroz,Colo-Colo,RW,65
Michael Ortega,The Strongest,CAM,65
Jacob Ortmark,IFK Norrköping,CM,65
Tomáš Ostrák,St. Louis CITY SC,RM,65
Anas Ouahim,Heracles Almelo,CAM,65
Yassin Oukili,RKC Waalwijk,CM,65
Bryan Oviedo,Real Salt Lake,LB,65
Leonard Owusu,Odds BK,CDM,65
Leeroy Owusu,Odense BK,RB,65
Deabeas Owusu-Sekyere,Cangzhou FC,LM,65
Yusuf Özdemir,Alanyaspor,LB,65
Bahadır Öztürk,Antalyaspor,CB,65
Guillermo Pacheco,Cobresal,RB,65
Dani Pacheco,Górnik Zabrze,LM,65
Guillermo Paiva,Olimpia,ST,65
Brahian Palacios,Atl. Nacional,RM,65
Murat Paluli,Sivasspor,RB,65
Paul Papp,FC Petrolul,CB,65
Marcelo Paredes,Tacuary,CDM,65
Vittorio Parigini,Feralpisalò,RM,65
Issouf Paro,US Concarneau,CB,65
Callum Paterson,Sheffield Wed,ST,65
Jack Payne,MK Dons,CM,65
Halil İbrahim Pehlivan,Çaykur Rizespor,LB,65
Álvaro Peña,Almere City FC,CM,65
Héber Pena,Racing de Ferrol,RM,65
James Penrice,Livingston,LB,65
Serginho,Viborg FF,RW,65
Romário,Kalmar FF,CM,65
Francisco Perruzzi,San Lorenzo,CDM,65
Stefano Pettinari,Reggiana,ST,65
Álex Petxa,FC Andorra,RB,65
Franz Pfanne,B. Dortmund II,CDM,65
Piao Cheng,Beijing Guoan,CM,65
Balthazar Pierret,Quevilly Rouen,CDM,65
Juan Pablo Pignani,Platense,CB,65
Mauricio Pineda,Chicago Fire FC,CDM,65
Mitch Pinnock,Northampton,RM,65
Damián Pizarro,Colo-Colo,ST,65
Peter Pokorný,Śląsk Wrocław,CDM,65
Dennis Politic,FC Dinamo 1948,LW,65
Joaquín Pombo,Arsenal,CB,65
Facundo Pons,Arsenal,ST,65
Simone Pontisso,Catanzaro,CM,65
Rareș Pop,UTA Arad,RM,65
Daniel Popa,FC Univ. Cluj,ST,65
Doru Popadiuc,FC Univ. Cluj,CAM,65
Danny Post,Almere City FC,CDM,65
Rico Preißinger,Preußen Münster,CDM,65
Dominik Prokop,TSV Hartberg,CAM,65
Rubén Pulido,SD Huesca,CB,65
Arkadiusz Pyrka,Piast Gliwice,RB,65
Mergim Qarri,Stade-Lausanne,CAM,65
Joshué Quiñonez,Barcelona SC,CB,65
Hugo Quintana,Olimpia,CM,65
Jairo Quinteros,Bolívar,CB,65
Haris Radetinac,Djurgårdens IF,RW,65
Lorenzo Rajot,Rodez AF,CM,65
Mileta Rajovic,Watford,ST,65
Alejandro Ramírez,UCV,LM,65
Samir Ramizi,FC Winterthur,CM,65
Calvin Ramsay,Preston,RWB,65
Lars Mogstad Ranger,Lillestrøm SK,RWB,65
Martin Regáli,KV Kortrijk,LM,65
Max Reinthaler,Wehen Wiesbaden,CB,65
Rocco Reitz,M'gladbach,CM,65
Martin Remacle,Korona Kielce,CM,65
Torben Rhein,SC Austria,CM,65
Julian Riedel,SV Waldhof,CB,65
Dante Rigo,Grenoble Foot 38,CDM,65
