Name,Nation,Club,Position,Age,Overall
Danylo Sikan,Ukraine,Shakhtar Donetsk,ST,22,67
Pedro Siles,Bolivia,Blooming,CDM,30,67
Marcelo Silva,Uruguay,Real Salt Lake,CB,34,67
Aral Şimşir,Turkey,FC Midtjylland,LW,21,67
Per Ciljan Skjelbred,Norway,Rosenborg BK,CM,36,67
Anis Slimane,Tunisia,Sheffield Utd,CM,22,67
Paul Smyth,Northern Ireland,QPR,LM,26,67
Soberón,Spain,CD Eldense,ST,26,67
Patryk Sokołowski,Poland,Legia Warszawa,CDM,29,67
Wilfredo Soleto,Bolivia,O. Petrolero,CB,27,67
Michael Sollbauer,Austria,SK Rapid Wien,CB,33,67
Patrick Sontheimer,Germany,Saarbrücken,CM,25,67
Sondre Sørli,Norway,FK Bodø/Glimt,RW,27,67
Samuel Sosa,Venezuela,CS Emelec,LM,23,67
Sebastián Sosa Sánchez,Uruguay,Banfield,ST,29,67
Nicolás Sosa Sánchez,Uruguay,Banfield,ST,27,67
Moussa Soumano,France,AC Ajaccio,ST,18,67
Caio Alexandre,Brazil,Whitecaps FC,CM,24,67
Abner,Brazil,RWD Molenbeek,LB,27,67
Kevin Spadanuda,Switzerland,FC Luzern,LM,26,67
Adrían Spörle,Argentina,Arsenal,LB,28,67
Jozo Stanić,Croatia,FC St. Gallen,RB,24,67
Dimitrios Stavropoulos,Greece,Warta Poznań,CB,26,67
Marvin Stefaniak,Germany,FC Erzgebirge Aue,LM,28,67
Simon Strand,Sweden,Hammarby IF,LB,30,67
Luca Strizzolo,Italy,Modena,ST,31,67
Mario Stroeykens,Belgium,RSC Anderlecht,CF,19,67
Jimmy,Spain,R. Oviedo,CM,26,67
Alexander Succar,Peru,Universitario,ST,28,67
Daniel Svensson,Sweden,FC Nordsjælland,LB,21,67
Williot Swedberg,Sweden,RC Celta,CM,19,67
Walter Tandazo,Peru,FBC Melgar,CM,23,67
George Tanner,England,Bristol City,RB,23,67
Gonzalo Tapia,Chile,Uni. Católica,RM,21,67
Abdoul Fessal Tapsoba,Burkina Faso,Amiens SC,ST,22,67
Terry Taylor,Wales,Charlton Ath,CDM,22,67
Caleb Taylor,England,West Brom,CB,20,67
Jackson Tchatchoua,Belgium,Hellas Verona,RM,22,67
Pascal Testroet,Germany,FC Ingolstadt 04,ST,33,67
Simon Thern,Sweden,IFK Värnamo,CM,31,67
Bjarne Thoelke,Germany,Saarbrücken,CB,31,67
Jordan Thompson,Northern Ireland,Stoke City,CM,26,67
Jordhy Thompson,Chile,Colo-Colo,LW,19,67
Jordan Thorniley,England,Oxford United,CB,26,67
Lennart Thy,Germany,PEC Zwolle,ST,31,67
Alexis Tibidi,France,N.E.C. Nijmegen,LW,19,67
Valentin Ticu,Romania,FC Petrolul,LB,23,67
Horacio Tijanovich,Argentina,Banfield,LM,27,67
Marco Tilio,Australia,Celtic,RW,22,67
Curtis Tilt,Jamaica,Salford City,CB,32,67
Fernando Torrent,Argentina,Huracán,RB,32,67
Alin Toșca,Romania,Al Riyadh,CB,31,67
Idrissa Touré,Germany,Pisa,CM,25,67
Yoann Touzghar,Tunisia,AC Ajaccio,ST,36,67
Bénie Traore,Côte d'Ivoire,Sheffield Utd,ST,20,67
Joaquín Trasante,Uruguay,River Plate,CM,24,67
Philipp Treu,Germany,FC St. Pauli,RB,22,67
Konstantinos Triantafyllopoulos,Greece,Górnik Zabrze,CB,30,67
Cristian Trujillo,Colombia,Deportes Tolima,CDM,25,67
Bill Tuiloma,New Zealand,Charlotte FC,CB,28,67
Oliver Turton,England,Huddersfield,RB,30,67
Boné Uaferro,Germany,Saarbrücken,CB,31,67
Steven Ugarković,Australia,Melbourne City,CDM,29,67
Adrián Ugarriza,Peru,Sporting Cristal,ST,26,67
Naci Ünüvar,Turkey,FC Twente,LW,20,67
Ureña,Spain,CD Leganés,LM,20,67
Anthony Uribe,Venezuela,Dep. Táchira,ST,32,67
Georgios Vagiannidis,Greece,Panathinaikos,RB,22,67
Sauli Väisänen,Finland,Odense BK,CB,29,67
Jader Valencia,Colombia,Millonarios,LM,23,67
Enrico Valentini,Germany,1. FC Nürnberg,RB,34,67
Thomas Van Den Keybus,Belgium,KVC Westerlo,LM,22,67
Djevencio van der Kust,Suriname,Sparta Rotterdam,LB,22,67
Jonathan Varane,France,R. Sporting,CDM,22,67
Diego Pampín,Spain,FC Andorra,LB,23,67
Roland Varga,Hungary,Sepsi OSK,LM,33,67
Jefre Vargas,Venezuela,Metropolitanos,RB,28,67
Brayan Véjar,Chile,Palestino,LB,28,67
Pedro Velasco,Ecuador,Barcelona SC,RB,30,67
Jairo Vélez,Ecuador,UCV,CAM,28,67
Brayan Vera,Colombia,Real Salt Lake,CB,24,67
John Verhoek,Holland,VfL Osnabrück,ST,34,67
Gonzalo Viera,Uruguay,River Plate,CB,36,67
Vilanova,Spain,FC Andorra,CB,26,67
Lars Vilsvik,Norway,Strømsgodset IF,RWB,34,67
Alessio Vita,Italy,Cittadella,CM,30,67
Pedro Vite,Ecuador,Whitecaps FC,CM,21,67
Carlos Vivas,Venezuela,Dep. Táchira,CB,21,67
Cristian Volpato,Italy,Sassuolo,CAM,19,67
Albion Vrenezi,Kosovo,1860 München,CAM,30,67
Josip Vuković,Croatia,Pendikspor,CDM,31,67
Patrik Vydra,Czech Republic,Sparta Praha,CB,20,67
Martyn Waghorn,England,Derby County,ST,33,67
Fridolin Wagner,Germany,SV Waldhof,CDM,26,67
Tyler Walker,England,Lincoln City,ST,27,67
Liam Walsh,England,Swansea City,CM,26,67
Joe Ward,England,Derby County,RWB,28,67
Danny Ward,England,Huddersfield,ST,32,67
Joel Waterman,Canada,CF Montréal,CB,27,67
Kelland Watts,England,Wigan Athletic,CB,23,67
Oscar Wendt,Sweden,IFK Göteborg,LB,37,67
Christopher Wernitznig,Austria,Austria Klagenfurt,RWB,33,67
Philipp Wiesinger,Austria,LASK,CB,29,67
Ben Wiles,England,Huddersfield,CM,24,67
Jordan Williams,England,Barnsley,RWB,23,67
James Wilson,Wales,Bristol Rovers,CB,34,67
Danny Wilson,Scotland,Colorado Rapids,CB,31,67
Marten Winkler,Germany,Hertha Berlin,LM,20,67
Manuel Wintzheimer,Germany,Arminia Bielefeld,ST,24,67
Przemysław Wiśniewski,Poland,Spezia,CB,25,67
Nick Woltemade,Germany,SV Werder Bremen,ST,21,67
Kwasi Okyere Wriedt,Ghana,VfL Osnabrück,ST,29,67
Charlie Wyke,England,Wigan Athletic,ST,30,67
Erdoğan Yeşilyurt,Turkey,Antalyaspor,RM,29,67
Kartal Yılmaz,Turkey,Kayserispor,CDM,22,67
Héctor Yuste,Spain,ATK Mohun Bagan,CB,35,67
Facundo Zabala,Argentina,Olimpia,LB,24,67
Caleb Zady Sery,Côte d'Ivoire,SM Caen,LM,23,67
Luka Zahović,Slovenia,Pogoń Szczecin,CAM,27,67
Gjoko Zajkov,North Macedonia,Univ. Craiova,CB,28,67
Luca Zander,Germany,SV Sandhausen,RWB,28,67
Franco Zapiola,Argentina,Estudiantes,LM,22,67
Bryan,Spain,Granada CF,LM,22,67
Manuel Zeitz,Germany,Saarbrücken,CB,33,67
Ekain,Spain,R. Racing Club,ST,29,67
Jean Zimmer,Germany,Kaiserslautern,RB,29,67
Bernhard Zimmermann,Austria,Wolfsberger AC,ST,21,67
Kenneth Zohore,Denmark,Śląsk Wrocław,ST,29,67
Ben Zolinski,Germany,Kaiserslautern,LM,31,67
Nadir Zortea,Italy,Bergamo Calcio,RWB,24,67
Adam Zreľák,Slovakia,Warta Poznań,ST,29,67
Luca Zuffi,Switzerland,FC Winterthur,CDM,33,67
Dario Župarić,Croatia,Portland Timbers,CB,31,67
Graham Zusi,United States,Sporting KC,RB,37,67
Paxten Aaronson,United States,Frankfurt,CAM,20,66
Abdel Hakim Abdallah,Comoros,Rodez AF,LWB,26,66
Ali Mohamed Abdallah,Comoros,Stade-Lausanne,RB,24,66
Aly Abeid,Mauritania,UTA Arad,LB,25,66
Charles Abi,France,Stade-Lausanne,ST,23,66
Albert Acevedo,Chile,Club Magallanes,CB,40,66
Alonso Aceves,Mexico,Chicago Fire FC,LB,22,66
Vlad Achim,Romania,FCU 1948,CDM,34,66
Yaw Ackah,Ghana,Kayserispor,CDM,24,66
Danny Henriques,Portugal,FCU 1948,CB,26,66
Alban Ajdini,Kosovo,Stade-Lausanne,LM,24,66
Arlind Ajeti,Albania,CFR 1907 Cluj,CB,30,66
Ufuk Akyol,Turkey,Antalyaspor,CDM,26,66
Ali Al Hassan,Saudi Arabia,Al Nassr,CDM,26,66
Fawaz Al Sagour,Saudi Arabia,Al Shabab,RB,27,66
Hamdan Al Shamrani,Saudi Arabia,Ettifaq FC,LB,26,66
Tomás Alarcón,Chile,FC Cartagena,CM,24,66
Lucas Albertengo,Argentina,Instituto,ST,32,66
Alexandru Albu,Romania,FC Rapid 1923,CDM,30,66
Aldasoro,Spain,R. Racing Club,CDM,24,66
Julián Alfaro,Chile,Club Magallanes,RW,22,66
Carmelo Algarañaz,Bolivia,Bolívar,ST,27,66
Mukhtar Ali,Saudi Arabia,Al Fateh,CDM,25,66
Joseda Álvarez,Spain,D. Alavés,RB,22,66
Léo Chú,Brazil,Sounders FC,LM,23,66
Lucas,Brazil,FC Dinamo 1948,CB,31,66
Ukra,Portugal,Rio Ave FC,RM,35,66
Iván Anderson,Panama,Monagas SC,RB,25,66
Bruce Anderson,Scotland,Livingston,ST,25,66
Fernando Andrade,Brazil,Casa Pia AC,LW,30,66
Aleksandar Andrejević,Serbia,Qingdao Hainiu,CB,31,66
Tino Anjorin,England,Portsmouth,RW,21,66
Valentin Antov,Bulgaria,Cremonese,CB,22,66
Kévin Appin,France,Burgos CF,CM,25,66
Walter Araujo,Paraguay,Metropolitanos,CAM,28,66
Adu Ares,Spain,Athletic Club,LM,21,66
Yair Arismendi,Argentina,Sarmiento,LM,25,66
Kristian Arnstad,Norway,RSC Anderlecht,CM,20,66
Jann-Fiete Arp,Germany,Holstein Kiel,ST,23,66
Bright Akwo Arrey-Mbi,Germany,Hannover 96,CB,20,66
Serkan Asan,Turkey,Pendikspor,RB,24,66
Adrián Ascues,Peru,Sporting Cristal,CM,20,66
Kristoffer Askildsen,Norway,Sampdoria,CM,22,66
Dairon Asprilla,Colombia,Portland Timbers,LM,31,66
Yáser Asprilla,Colombia,Watford,CAM,19,66
Abdullah Ateef,Saudi Arabia,Al Ahli,CDM,31,66
Nathaniel Atkinson,Australia,Hearts,RB,24,66
Jean-Kévin Augustin,France,FC Basel 1893,ST,26,66
Charlie Austin,England,Swindon Town,ST,34,66
Durel Avounou,Congo,CFR 1907 Cluj,CM,26,66
Nazinho,Portugal,Cercle Brugge,LWB,20,66
Pape Meissa Ba,Senegal,Grenoble Foot 38,ST,26,66
Ba Dun,China PR,Tianjin JMT FC,LM,28,66
Edgar Babayan,Armenia,Randers FC,LM,27,66
Felix Bacher,Austria,WSG Tirol,CB,23,66
Dominique Badji,Senegal,FC Cincinnati,ST,30,66
Youssouph Badji,Senegal,Sp. Charleroi,ST,21,66
Gabriel Báez,Argentina,Nacional,LB,28,66
Bentley Baxter Bahn,Germany,SV Waldhof,CM,31,66
Mike-Steven Bähre,Germany,SCR Altach,CM,28,66
Michael Baidoo,Ghana,IF Elfsborg,CAM,24,66
Saïd Bakari,Comoros,Sparta Rotterdam,RB,29,66
Makana Baku,Germany,Legia Warszawa,LM,25,66
Romário Baldé,Guinea-Bissau,Nantong Zhiyun FC,LM,26,66
Yasser Baldé,France,Stade Lavallois,CB,30,66
Dominic Ball,England,Ipswich,CDM,28,66
Florian Ballas,Germany,Jahn Regensburg,CB,30,66
Thierno Ballo,Austria,Wolfsberger AC,CAM,21,66
Axel Bamba,Côte d'Ivoire,R. Sporting,CB,24,66
Funsho Bamgboye,Nigeria,FC Rapid 1923,LW,24,66
Marcel Bär,Germany,FC Erzgebirge Aue,ST,31,66
Leandro Barcia,Uruguay,Defensor,RW,31,66
Martín Barrios,Uruguay,Liverpool,CM,24,66
Thierno Barry,France,FC Basel 1893,ST,20,66
Maxime Barthelmé,France,En Avant Guingamp,RM,35,66
Mons Bassouamina,Congo,Pau FC,ST,25,66
Lewis Bate,England,Leeds United,CM,20,66
Dominic Baumann,Germany,Hallescher FC,ST,28,66
Furkan Bayır,Turkey,Alanyaspor,CB,23,66
Tom Bayliss,England,Shrewsbury,CAM,24,66
Raúl Becerra,Argentina,Dep. Cuenca,ST,36,66
Tobias Bech,Denmark,AGF,CM,21,66
Ismajl Beka,Kosovo,FC Luzern,CB,23,66
Joe Bell,New Zealand,Viking FK,CM,24,66
Mohammed Ali Bemammer,Morocco,NorthEast United,CDM,33,66
Rico Benatelli,Germany,Austria Klagenfurt,CDM,31,66
Guillermo Benítez,Argentina,Huracán,LB,29,66
Miguel Ángel Benítez,Paraguay,Guaraní,LB,26,66
Jewison Bennette,Costa Rica,Sunderland,LM,19,66
Leider Berdugo,Colombia,Junior,CM,21,66
Gustav Berggren,Sweden,Raków,CDM,26,66
Alexander Bernhardsson,Sweden,IF Elfsborg,RW,25,66
Steeve Beusnard,France,Pau FC,CM,31,66
Merveille Biankadi,Germany,Arminia Bielefeld,RM,28,66
Tom Bischof,Germany,TSG Hoffenheim,CAM,18,66
José Bizama,Chile,Palestino,RB,29,66
John Björkengren,Sweden,Randers FC,CDM,24,66
Sondre Flem Bjørshol,Norway,Viking FK,RB,29,66
Emmanuel Boateng,Ghana,New England,LM,29,66
Billy Bodin,Wales,Oxford United,CAM,31,66
Darijan Bojanić,Sweden,Ulsan Hyundai,CM,28,66
Kévin Boli,Côte d'Ivoire,Farul Constanța,CB,32,66
Bendegúz Bolla,Hungary,Servette FC,RB,23,66
Alexandre Bonnet,France,Quevilly Rouen,CM,36,66
Christopher Bonsu Baah,Ghana,KRC Genk,RM,18,66
Marco Borgnino,Argentina,Farul Constanța,RW,25,66
Osvaldo Bosso,Chile,Audax Italiano,CB,29,66
Kenji-Van Boto,Madagascar,Pau FC,LB,27,66
Carlo Boukhalfa,Germany,FC St. Pauli,CAM,24,66
Aymen Boutoutaou,Algeria,Valenciennes FC,RM,22,66
Ruben Bover,Spain,FC Andorra,CM,31,66
William Bøving,Denmark,SK Sturm Graz,ST,20,66
Christopher Braun,Germany,FC Rapid 1923,RB,32,66
Juanma Bravo,Spain,AD Alcorcón,CM,25,66
Pascal Breier,Germany,VfB Lübeck,LM,31,66
Marco Brescianini,Italy,Frosinone,CDM,23,66
Joshua Brillante,Australia,WS Wanderers,CDM,30,66
Jérémie Broh,Italy,Südtirol,CM,26,66
Javain Brown,Jamaica,Whitecaps FC,RB,24,66
Ciaron Brown,Northern Ireland,Oxford United,LB,25,66
Charles-Andreas Brym,Canada,Sparta Rotterdam,ST,25,66
Buatu,Angola,Valenciennes FC,CB,30,66
Roman Buess,Switzerland,FC Winterthur,ST,31,66
Thomas Buitink,Holland,Vitesse,ST,23,66
Oliver Bundgaard,Denmark,Viborg FF,LB,22,66
Max Burgess,Australia,Sydney FC,CAM,28,66
Graham Burke,Republic of Ireland,Shamrock Rovers,LW,30,66
Rocky Bushiri,Congo DR,Hibernian,CB,23,66
Ezequiel Busquets,Uruguay,River Plate,RB,22,66
Álvaro Bustos,Spain,AD Alcorcón,LM,28,66
Mihai Butean,Romania,FC Hermannstadt,RB,27,66
Juan David Cabal,Colombia,Hellas Verona,CB,22,66
Carlos Cabello,Peru,UCV,RB,26,66
Cai Huikang,China PR,Shanghai Port,CDM,33,66
Luis Caicedo,Colombia,Houston Dynamo,CDM,27,66
Abdulkerim Çakar,Turkey,Gaziantep,RM,22,66
Pablo Camacho,Venezuela,Dep. Táchira,RB,32,66
Lamine Camara,Senegal,FC Metz,CAM,19,66
Álvaro Campuzano,Paraguay,Libertad,CDM,28,66
Luis Cano,Ecuador,Aucas,LW,24,66
Mihai Căpățînă,Romania,Univ. Craiova,CM,27,66
Édgar Carrión,Venezuela,Monagas SC,LM,22,66
Florian Carstens,Germany,Wehen Wiesbaden,CB,24,66
Cesare Casadei,Italy,Leicester City,CM,20,66
Marcin Cebula,Poland,Raków,CF,27,66
Junior Cedeño,Venezuela,Puerto Cabello,CM,32,66
Joseph Ceesay,Sweden,Malmö FF,RB,25,66
Maximiliano Centurión,Argentina,Arsenal,CB,24,66
Giuliano Cerato,Argentina,Instituto,RB,25,66
Carlos Cermeño,Venezuela,Metropolitanos,CDM,28,66
Boris Cespedes,Bolivia,Yverdon Sport FC,CDM,28,66
Sava-Arangel Čestić,Serbia,Heracles Almelo,CB,22,66
Mike Cestor,Congo DR,Radomiak Radom,CB,31,66
Wálter Chalá,Ecuador,LDU Quito,RM,31,66
Edinson Chávez,Peru,Alianza Lima,RB,29,66
Sunil Chhetri,India,Bengaluru FC,ST,39,66
Alexandru Chipciu,Romania,FC Univ. Cluj,RM,34,66
Kacper Chodyna,Poland,Zagłębie Lubin,RM,24,66
Agustín Chopitea,Uruguay,River Plate,RB,24,66
Joris Chougrani,France,Rodez AF,CB,32,66
George Cîmpanu,Romania,FC Univ. Cluj,RM,23,66
Till Cissokho,France,Quevilly Rouen,CB,23,66
Pelle Clement,Holland,Sparta Rotterdam,CM,27,66
Alexandre Coeff,France,SM Caen,CB,31,66
Devante Cole,England,Barnsley,ST,28,66
James Collins,Republic of Ireland,Derby County,ST,32,66
Racine Coly,Senegal,İstanbulspor,LB,27,66
Gabriel Compagnucci,Argentina,FCU 1948,RB,32,66
Christian Conteh,Germany,VfL Osnabrück,RW,24,66
Tommy Conway,Scotland,Bristol City,ST,21,66
Andy Cook,England,Bradford City,ST,32,66
Theo Corbeanu,Canada,Grasshopper Club,RM,21,66
Mael Corboz,United States,SC Verl,CM,29,66
Sergio Córdova,Venezuela,Alanyaspor,ST,26,66
Fernando Cornejo,Chile,Palestino,CDM,27,66
Ramón Coronel,Paraguay,Palmaflor,CB,32,66
Tomás Silva,Portugal,FC Vizela,RB,23,66
Cristian Costin,Romania,FC Dinamo 1948,RB,25,66
Jordan Cousins,Jamaica,Cambridge Utd,CDM,29,66
Néstor Cova,Venezuela,Metropolitanos,LB,28,66
Nemanja Covic,Serbia,Henan SSLM FC,ST,32,66
Ljuban Crepulja,Croatia,FC Voluntari,CDM,30,66
Saúl Crespo,Spain,East Bengal,CDM,27,66
Alejo Cruz,Uruguay,Danubio,LW,23,66
Luke Cundle,England,Plymouth Argyle,CM,21,66
Marvin Çuni,Albania,Frosinone,ST,22,66
Lovro Cvek,Croatia,CFR 1907 Cluj,CDM,28,66
Christopher Cvetko,Austria,Austria Klagenfurt,CM,26,66
Luca D'Andrea,Italy,Catanzaro,RM,19,66
André Luís,Brazil,Jeonbuk Hyundai,ST,26,66
Josh Dacres-Cogley,England,Bolton,RWB,27,66
Renat Dadashov,Azerbaijan,Hatayspor,ST,24,66
Dalmau,Spain,Korona Kielce,ST,29,66
Vitalie Damascan,Moldova,Sepsi OSK,ST,24,66
Misael Dávila,Chile,Palestino,CM,32,66
Maël de Gevigney,France,Barnsley,CB,24,66
Lautaro,Uruguay,FC Cartagena,ST,22,66
Juan Cruz De Los Santos,Uruguay,River Plate,RM,20,66
Daniel De Silva,Australia,Macarthur FC,CM,26,66
Koni De Winter,Belgium,Genoa,CB,21,66
Yannick Deichmann,Germany,FC Ingolstadt 04,CM,29,66
Mats Deijl,Holland,Go Ahead Eagles,RB,26,66
Maxim Dekker,Holland,AZ,CB,19,66
Luis Del Pino Mago,Venezuela,Banfield,CB,29,66
Moi Delgado,Spain,Racing de Ferrol,LB,29,66
Delmás,Spain,Racing de Ferrol,RB,28,66
Yohan Demoncy,France,Paris FC,CM,27,66
Kyle Dempsey,England,Bolton,CM,28,66
Valentín Depietri,Argentina,Talleres,LM,22,66
Pape Djibril Diaw,Senegal,Stade Lavallois,CB,28,66
Diomar Díaz,Venezuela,Dep. Táchira,CM,33,66
Victor Dican,Romania,FC Botoșani,CDM,22,66
Adrián Diéguez,Spain,Jagiellonia,CB,27,66
Lars Dietz,Germany,Viktoria Köln,CB,26,66
Ismaël Diomandé,Côte d'Ivoire,FC Petrolul,CDM,31,66
Maximilian Dittgen,Germany,FC Ingolstadt 04,ST,28,66
Mohamed Djetei,Cameroon,Albacete BP,CB,29,66
Toni Domgjoni,Kosovo,Vitesse,CM,25,66
Jerónimo Domina,Argentina,Unión,ST,17,66
John Donald,Spain,Elche CF,CB,23,66
Mehdi Dorval,France,Bari,RB,22,66
Anderson,Brazil,SC Austria,CB,25,66
Hassani Dotson,United States,Minnesota United,CDM,26,66
Barry Douglas,Scotland,Lech Poznań,LB,34,66
Couhaib Driouech,Holland,Excelsior,LM,21,66
Michael Duffy,Republic of Ireland,Derry City,LM,29,66
Bryce Duke,United States,CF Montréal,CAM,22,66
Andres Dumitrescu,Romania,Slavia Praha,LB,22,66
Julien Duranville,Belgium,Borussia Dortmund,LM,17,66
Chris Durkin,United States,D.C. United,CM,23,66
Sampson Dweh,Liberia,Viktoria Plzeň,CB,21,66
Malcolm Ebiowei,England,Crystal Palace,RW,20,66
George Edmundson,England,Ipswich,CB,26,66
Tayo Edun,England,Charlton Ath,LB,25,66
Curtis Edwards,England,Stabæk Fotball,CM,29,66
Jacques Ekomié,Gabon,Bordeaux,LB,20,66
Neil El Aynaoui,France,RC Lens,CM,22,66
Omar El Hilali,Morocco,RCD Espanyol,RB,20,66
Simon Elisor,France,FC Metz,ST,24,66
Martin Ellingsen,Norway,Molde FK,CDM,28,66
Bartuğ Elmaz,Turkey,Fenerbahçe,CM,20,66
Elliot Embleton,England,Derby County,CAM,24,66
Erik Engelhardt,Germany,VfL Osnabrück,ST,25,66
Okan Erdoğan,Turkey,İstanbulspor,CB,25,66
Ethan Erhahon,Scotland,Lincoln City,CM,22,66
Tomás Escalante,Argentina,Defensa,CM,24,66
Dani Escriche,Spain,Albacete BP,ST,25,66
Jhon Espinoza,Ecuador,FC Lugano,RWB,24,66
Felipe Espinoza,Chile,Club Magallanes,LB,24,66
Santiago Etchebarne,Uruguay,Danubio,CB,29,66
Kion Etete,England,Cardiff City,ST,21,66
Corry Evans,Northern Ireland,Sunderland,CDM,33,66
Erik Expósito,Spain,Śląsk Wrocław,ST,27,66
Brooklyn Ezeh,Germany,Hannover 96,LWB,22,66
Nené,Portugal,Jagiellonia,CM,28,66
Ivo Pinto,Portugal,Fortuna Sittard,RB,33,66
Konrad Faber,Germany,Jahn Regensburg,RB,25,66
Andrej Fábry,Slovakia,UTA Arad,CAM,26,66
Caín Fara,Argentina,CS Emelec,RB,29,66
Paolo Faragò,Italy,Como,CM,30,66
Luis Fariña,Argentina,Guaraní,LM,32,66
Jacopo Fazzini,Italy,Empoli,CM,20,66
Adrian Fein,Germany,Excelsior,CDM,24,66
Mads Fenger,Denmark,Hammarby IF,CB,33,66
Arianit Ferati,Kosovo,Fortuna Sittard,CM,26,66
Nathan Ferguson,England,Crystal Palace,LB,23,66
Damián Fernández,Argentina,Vélez Sarsfield,CB,22,66
Dani Fernández,Spain,R. Racing Club,RB,26,66
Andrés Ferrari,Uruguay,Villarreal CF B,ST,20,66
Gabriele Ferrarini,Italy,Feralpisalò,RB,23,66
Ioannis Fetfatzidis,Greece,Apoel FC,CF,32,66
Riccardo Fiamozzi,Italy,Reggiana,RB,30,66
Richard Figueroa,Venezuela,Puerto Cabello,RM,27,66
Ioan Filip,Romania,FC Univ. Cluj,CDM,34,66
Kian Fitz-Jim,Holland,Excelsior,CM,20,66
Florian Flecker,Austria,LASK,RM,27,66
Felipe Flores,Chile,Club Magallanes,ST,36,66
Mamadou Fofana,France,Amiens SC,CM,23,66
Boubacar Fofana,France,Servette FC,LM,25,66
Ben Folami,Australia,Melb. Victory,LM,24,66
Chris Forino,England,Wycombe,CB,23,66
Alan Forrest,Scotland,Hearts,LM,27,66
Craig Forsyth,Scotland,Derby County,CB,34,66
Daam Foulon,Belgium,KV Mechelen,LM,24,66
Abu Francis,Ghana,Cercle Brugge,CM,22,66
Juan José Franco,Paraguay,Instituto,RB,31,66
Guillaume François,Belgium,R. Union St.-G.,RWB,33,66
Liam Fraser,Canada,FC Dallas,CDM,25,66
Hólmbert Aron Friðjónsson,Iceland,Holstein Kiel,ST,30,66
Dominik Frieser,Austria,TSV Hartberg,RM,30,66
Nils Fröling,Sweden,Hansa Rostock,LM,23,66
Jeando Fuchs,Cameroon,Peterborough,CM,25,66
Joel Chima Fujita,Japan,STVV,CDM,21,66
Juriën Gaari,Curaçao,RKC Waalwijk,CB,29,66
Raymon Gaddis,United States,FC Cincinnati,RB,33,66
Tomás Galván,Argentina,Colón,CAM,23,66
Valerică Găman,Romania,FC Hermannstadt,CB,34,66
Jens Martin Gammelby,Denmark,HamKam Fotball,RWB,28,66
Silvère Ganvoula,Congo,BSC Young Boys,ST,27,66
Luke Garbutt,England,Salford City,LB,30,66
Borja Garcés,Spain,Elche CF,ST,24,66
Damián García,Uruguay,Peñarol,CM,20,66
Pablo García,Spain,R. Sporting,LB,23,66
Mario Gargiulo,Italy,Modena,CM,27,66
Lamine Gassama,Senegal,Stade-Lausanne,RB,33,66
Marcel Gaus,Germany,Saarbrücken,LWB,34,66
Turgay Gemicibaşı,Turkey,Austria Klagenfurt,CDM,27,66
Fabio Gerli,Italy,Modena,CM,26,66
Lamine Ghezali,France,FC Dinamo 1948,RW,24,66
Iván Gil,Spain,FC Andorra,CM,23,66
Dylan Gissi,Switzerland,Defensa,CB,32,66
Eddy Gnahoré,France,Ascoli,CDM,29,66
Giorgi Gocholeishvili,Georgia,Shakhtar Donetsk,RB,22,66
Diego Gómez,Paraguay,Inter Miami CF,CM,20,66
Iron Gomis,France,Kasımpaşa,CM,23,66
Donatien Gomis,Senegal,En Avant Guingamp,CB,28,66
Marcelo González,Paraguay,Atlético Tucumán,RM,27,66
Peter,Spain,Real Madrid,RW,21,66
Urko González,Spain,Real Sociedad,CB,22,66
Lynden Gooch,United States,Stoke City,RB,27,66
Liam Gordon,Scotland,St. Johnstone,CB,27,66
Jan Gorenc,Slovenia,KAS Eupen,CB,24,66
Felix Götze,Germany,Rot-Weiss Essen,CM,25,66
Pablo Gozálbez,Spain,Valencia CF,CAM,22,66
Rhyan Grant,Australia,Sydney FC,RB,32,66
André Green,England,Rotherham Utd,RW,25,66
Ruan,Brazil,D.C. United,RB,28,66
Adriano Grimaldi,Germany,SC Paderborn 07,ST,32,66
Simone Grippo,Switzerland,Lausanne-Sport,CB,34,66
Darijo Grujčić,Austria,SC Austria,CB,24,66
Adrian Gryszkiewicz,Poland,Raków,CB,23,66
Juan Cruz Guasone,Argentina,Estudiantes,CB,22,66
Raudy Guerrero,Venezuela,Puerto Cabello,RM,29,66
Nesta Guinness-Walker,England,Reading,LB,24,66
Muhammed Gümüşkaya,Turkey,Samsunspor,LM,22,66
Jostein Gundersen,Norway,Tromsø IL,CB,27,66
Julian Günther-Schmidt,Germany,Saarbrücken,CAM,29,66
Ahmet Gürleyen,Germany,1. FC Nürnberg,CB,24,66
Carl Gustafsson,Sweden,Kalmar FF,CM,23,66
Filipe Nascimento,Portugal,Górnik Zabrze,CM,28,66
Jon Guthrie,England,Northampton,CB,31,66
Silvio Gutiérrez,Ecuador,Dep. Cuenca,LB,30,66
Daniel Gutiérrez,Chile,Colo-Colo,CB,20,66
Maxwell Gyamfi,Germany,VfL Osnabrück,CB,23,66
Giovanni Haag,France,Rodez AF,CDM,23,66
Maren Haile-Selassie,Switzerland,Chicago Fire FC,RM,24,66
Besar Halimi,Kosovo,Hallescher FC,CAM,28,66
Lewis Hall,England,Newcastle Utd,LB,19,66
George Hall,England,Birmingham City,CAM,19,66
Andy Halliday,Scotland,Hearts,LB,31,66
Niko Hämäläinen,Finland,HJK Helsinki,LB,26,66
CJ Hamilton,Republic of Ireland,Blackpool,LM,28,66
